epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4568,1.4335,2.33241,1.51171,0.76193,0.51613,0.52637,0.32316,1.2542,1.40587,1.17121,0.00046641,0.00046641,0.00046641
2,31.6303,1.25287,1.27607,1.38797,0.74574,0.80874,0.84402,0.53249,1.15333,1.12301,1.19506,0.000924077,0.000924077,0.000924077
3,45.826,1.22973,1.14659,1.3258,0.84599,0.86351,0.89573,0.58695,1.10331,0.95107,1.17292,0.00136288,0.00136288,0.00136288
4,60.1442,1.20279,1.11557,1.30512,0.80996,0.8832,0.87464,0.55761,1.20462,1.035,1.21186,0.00134412,0.00134412,0.00134412
5,74.0988,1.17913,1.03903,1.27933,0.76597,0.8477,0.87549,0.56175,1.2005,0.99514,1.2132,0.00131582,0.00131582,0.00131582
6,88.5548,1.16117,1.00213,1.26478,0.83513,0.8979,0.89286,0.59386,1.0822,0.81656,1.16269,0.00128753,0.00128753,0.00128753
7,102.822,1.16205,0.99782,1.256,0.82889,0.88644,0.91327,0.61767,1.07765,0.95004,1.17655,0.00125923,0.00125923,0.00125923
8,117.042,1.15281,0.95618,1.25237,0.8051,0.92294,0.88361,0.57941,1.15915,0.82495,1.21129,0.00123094,0.00123094,0.00123094
9,131.358,1.15651,0.942,1.24626,0.77432,0.95759,0.90031,0.61874,1.08373,0.83546,1.1407,0.00120265,0.00120265,0.00120265
10,145.354,1.13991,0.92456,1.23156,0.81935,0.88289,0.89663,0.57352,1.15829,0.84702,1.19257,0.00117435,0.00117435,0.00117435
11,159.707,1.15087,0.91037,1.24327,0.8123,0.92557,0.90304,0.60579,1.0539,0.79361,1.15821,0.00114606,0.00114606,0.00114606
12,173.781,1.12203,0.88808,1.22018,0.809,0.94512,0.9052,0.60364,1.05252,0.79444,1.14372,0.00111776,0.00111776,0.00111776
13,187.698,1.13249,0.90177,1.22495,0.86153,0.89459,0.89398,0.59329,1.11808,0.7991,1.16409,0.00108947,0.00108947,0.00108947
14,201.453,1.11973,0.86447,1.21367,0.86707,0.89103,0.90724,0.60073,1.09652,0.76473,1.15659,0.00106118,0.00106118,0.00106118
15,215.793,1.10306,0.86048,1.19999,0.81327,0.91434,0.89364,0.593,1.12828,0.82035,1.19185,0.00103288,0.00103288,0.00103288
16,229.413,1.10797,0.86537,1.21053,0.83777,0.89876,0.91669,0.6287,1.03112,0.73147,1.15223,0.00100459,0.00100459,0.00100459
17,243.242,1.08541,0.84186,1.19122,0.83273,0.90835,0.91205,0.63058,1.02371,0.69973,1.14092,0.000976293,0.000976293,0.000976293
18,257.203,1.10582,0.83671,1.20587,0.83629,0.90753,0.90842,0.62353,1.04202,0.76754,1.1645,0.000947999,0.000947999,0.000947999
19,271.489,1.09859,0.82933,1.1972,0.82077,0.89468,0.8888,0.60668,1.05128,0.74471,1.17071,0.000919704,0.000919704,0.000919704
20,285.51,1.08381,0.81642,1.19271,0.84169,0.90553,0.91704,0.61272,1.09108,0.76086,1.18575,0.00089141,0.00089141,0.00089141
21,300.051,1.0843,0.80933,1.19129,0.84551,0.90395,0.91063,0.61558,1.07783,0.73668,1.16639,0.000863116,0.000863116,0.000863116
22,313.808,1.07499,0.8121,1.18353,0.8388,0.91562,0.92143,0.63107,1.01457,0.72595,1.14529,0.000834822,0.000834822,0.000834822
23,327.912,1.06352,0.79042,1.1762,0.80352,0.91734,0.89346,0.61755,1.03089,0.73922,1.14838,0.000806528,0.000806528,0.000806528
24,342.119,1.06511,0.79878,1.17487,0.8051,0.91973,0.91506,0.61381,1.06886,0.79991,1.1689,0.000778233,0.000778233,0.000778233
25,356.448,1.07705,0.7955,1.18244,0.85498,0.93232,0.92616,0.62193,1.05953,0.7263,1.16616,0.000749939,0.000749939,0.000749939
26,370.424,1.0782,0.77957,1.18597,0.84115,0.88088,0.90725,0.60994,1.07127,0.7292,1.18182,0.000721645,0.000721645,0.000721645
27,384.423,1.06352,0.78441,1.17968,0.83966,0.90021,0.91248,0.63293,1.02457,0.68455,1.16979,0.000693351,0.000693351,0.000693351
28,398.258,1.05388,0.78399,1.1683,0.85164,0.8903,0.9129,0.62944,1.02203,0.69249,1.1635,0.000665057,0.000665057,0.000665057
29,412.149,1.0367,0.74673,1.15922,0.82115,0.92276,0.91739,0.63813,1.03495,0.6781,1.15445,0.000636762,0.000636762,0.000636762
